DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,TRANSECT,REACH_SECTION,WETTED_WIDTH,DEPTH_1,DEPTH_2,DEPTH_3,DEPTH_4,DEPTH_5,MAX_DEPTH,REACH_LENGTH,NOTES
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",0,M,330,16.0,22.0,17.0,13.5,11.5,25.5,95,"From transect 0 to 60 the depths are in no particular order"
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",5,M,520,11.5,44.5,31.0,14.0,7.0,70.5,95,"check max depth w/ Katie"
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",10,M,335,10.0,17.0,14.5,21.0,18.0,21.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",15,M,435,10.0,25.0,23.0,13.5,6.0,38.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",20,M,195,7.0,18.0,24.0,10.0,18.0,24.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",25,M,360,3.0,9.0,4.0,12.0,14.0,19.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",30,M,350,14.0,20.0,14.0,22.0,6.0,28.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",35,M,510,8.0,11.0,29.5,18.0,30.0,31.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",40,M,605,4.5,7.5,7.0,33.0,11.0,33.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",45,M,320,2.0,11.0,19.0,53.0,10.0,53.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",50,M,320,12.0,13.0,14.0,13.0,5.0,15.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",55,M,370,5.0,24.0,18.0,16.0,6.0,24.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",60,M,600,3.0,21.0,19.0,19.0,10.0,21.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",65,M,527,4.0,15.5,13.5,11.0,11.0,15.5,95,"From transect 65 to end depths are ordered from left bank (looking upstream) to right bank"
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",70,M,460,18.0,20.0,15.0,5.0,2.5,24.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",75,M,560,6.0,8.0,7.5,26.0,31.0,31.0,95,"split channel: Left channel width 130 cm, right channel width 275 cm. Depths 4 & 5 are in right channel"
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",80,M,670,6.5,2.0,6.0,6.5,6.5,13.0,95,"channel begins to split (looking downstream)"
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",85,M,688,18.0,17.0,18.0,12.0,12.5,19.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",90,M,295,5.0,18.0,16.0,20.0,12.5,25.0,95,""
AS011,2,2016,2016-07-29,"McRae","MCRAE_STREON","R834",95,M,310,13.0,17.0,10.0,2.0,7.0,22.0,95,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",0,L,215,11.0,1.5,7.0,11.0,10.0,2.0,69,"left channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",0,R,63,3.0,1.0,3.0,2.0,3.0,3.0,69,"right channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",5,M,465,7.0,2.5,4.0,0.0,4.0,7.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",10,M,430,14.5,7.0,8.5,0.0,3.5,6.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",15,M,175,16.0,14.0,15.0,14.0,14.0,6.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",20,M,265,46.0,31.0,44.0,34.0,27.0,4.5,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",25,M,265,46.0,31.0,44.0,34.0,27.0,4.5,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",30,M,190,4.5,3.0,3.5,3.0,4.0,4.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",35,L,145,18.5,5.0,8.0,11.0,15.5,6.5,69,"left channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",35,R,95,19.0,5.0,7.0,14.0,18.0,8.0,69,"right channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",40,L,220,25.5,7.5,21.0,16.0,5.0,5.0,69,"left channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",40,R,75,2.0,2.0,0.0,1.0,0.0,1.0,69,"right channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",45,L,250,24.0,6.0,24.0,5.0,7.0,11.0,69,"left channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",45,R,118,3.0,3.0,0.0,2.0,0.0,3.0,69,"right channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",50,L,190,13.0,2.0,3.0,0.0,10.0,9.5,69,"left channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",50,R,300,3.5,3.0,3.0,2.0,1.0,2.0,69,"right channel"
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",55,M,570,21.0,9.0,11.0,8.0,3.0,10.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",60,M,405,10.5,4.0,8.0,6.0,1.5,2.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",65,M,240,32.0,0.0,3.0,10.0,0.0,32.0,69,""
AS011,2,2016,2016-08-24,"Lookout","LO_SCALER_CONTROL","L1003",69,M,335,13.0,12.0,6.0,12.5,8.5,5.5,69,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",0,M,510,7.0,8.0,17.0,0.0,2.0,17.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",3,M,350,66.0,62.0,82.0,91.0,65.0,92.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",5,M,210,2.0,8.5,11.0,13.5,9.0,13.5,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",10,M,220,5.0,3.5,6.5,12.0,8.0,12.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",15,M,395,20.0,24.0,6.5,3.0,14.0,35.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",20,M,250,21.0,24.0,23.5,20.0,13.5,34.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",25,M,310,3.5,7.0,0.0,29.0,29.5,32.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",30,M,500,10.5,30.0,46.0,15.0,37.0,46.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",35,M,260,12.5,11.0,18.5,8.0,8.5,12.5,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",40,C,135,0.5,1.5,1.5,4.0,1.0,4.0,85,"middle channel"
