DBCODE,ENTITY,STREAM,SITE,SITE_CODE,SITE_ELEV_M,DOWNSTREAM_ELEVATION,UPSTREAM_ELEVATION,PERCENT_GRADIENT,WS_AREA_HA,LATITUDE,LONGITUDE
AS011,3,"Lookout","L701_LOWER","L755",755,755,763,7.8,1396.4,44.233770,-122.152860
AS011,3,"Lookout","L701_UPPER","L769",769,768,775,6.6,1390.1,44.233950,-122.150340
AS011,3,"Lookout","L703_LOWER","L894",894,893,899,6.3,784.7,44.230210,-122.131500
AS011,3,"Lookout","L703_UPPER","L906",906,903,910,6.8,734.3,44.229250,-122.129710
AS011,3,"Lookout","L704_UPPER","L1023",1023,1019,1029,9.7,337.7,44.221270,-122.116950
AS011,3,"Lookout","LO_HW_ABOVE_EOF","L1155",1155,1152,1168,16.4,51.3,44.210150,-122.114330
AS011,3,"Lookout","LO_HW_BELOW_EOF","L1129",1129,1127,1139,11.7,104.4,44.211800,-122.114300
AS011,3,"Lookout","LO_SCALER_ADD","L994",994,993,1001,8.1,418.9,44.223480,-122.119640
AS011,3,"Lookout","LO_SCALER_CONTROL","L1003",1003,1003,1011,8.3,383.5,44.222900,-122.118630
AS011,3,"Lookout","LO_SCALER_DEPL","L999",999,998,1006,7.9,418.6,44.223200,-122.119160
AS011,3,"Mack","MACK_HW_ABOVE_EOF","M881",881,879,895,15.2,376.9,44.212320,-122.158780
AS011,3,"Mack","MACK_HW_BELOW_EOF","M864",864,863,879,16.3,382.8,44.212910,-122.159910
AS011,3,"McRae","M404_LOWER","R620",620,619,623,4.5,1325.0,44.244110,-122.194310
AS011,3,"McRae","M404_UPPER","R631",631,630,637,7.5,1202.5,44.245200,-122.191750
AS011,3,"McRae","MCR_SCALERSTREON_CON","R842",842,840,846,6.6,611.5,44.256570,-122.167580
AS011,3,"McRae","MCR_SCALERSTREON_DEP","R836",836,835,843,8.1,617.6,44.255910,-122.167710
AS011,3,"McRae","MCRAE_BELOW_CULVERT","R818",818,817,821,4.6,622.8,44.254280,-122.170160
AS011,3,"McRae","MCRAE_HW_ABOVE_EOF","R981",981,978,989,10.3,292.6,44.264200,-122.155950
AS011,3,"McRae","MCRAE_HW_BELOW_ EOF","R963",963,962,973,10.5,324.6,44.263420,-122.156820
AS011,3,"McRae","MCRAE_SCALER_ADD","R556",556,555,558,3.0,1551.3,44.234430,-122.207440
AS011,3,"McRae","MCRAE_SCALER_CONTROL","R558",558,558,561,2.9,1545.1,44.234850,-122.206360
AS011,3,"McRae","MCRAE_SCALER_DEPL","R557",557,556,559,2.7,1551.1,44.234660,-122.206930
AS011,3,"McRae","MCRAE_STREON","R834",834,833,838,5.0,617.9,44.255860,-122.168260
AS011,3,"McRae","MCTE_LOWER","RT_810_822",822,820,829,8.6,128.0,44.253620,-122.170080
AS011,3,"McRae","MCTE_OG","RT_810_856",856,849,861,11.8,112.3,44.254680,-122.166370
AS011,3,"McRae","MCTE_UPPER","RT_810_836",836,834,844,10.7,122.6,44.253990,-122.168200
AS011,3,"McRae","MCTW_L522","RT_690_861",861,858,868,10.5,74.4,44.262300,-122.174430
AS011,3,"McRae","MCTW_LOWER","RT_690_772",772,771,779,8.1,172.9,44.253540,-122.180700
AS011,3,"McRae","MCTW_UPPER","RT_690_793",793,792,798,5.8,156.3,44.256070,-122.180080
