DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,VISIT_NO,SAMPLING_TYPE,TOTAL_SAMPLING_EFFORT,SAMPLING_TEAM,REACH_LENGTH,AVERAGE_WETTED_WIDTH,AREA_SAMPLED,FIELD_LATITUDE_TOP_NET,FIELD_LONGITUDE_TOP_NET,FIELD_LATITUDE_BOTTOM_NET,FIELD_LONGITUDE_BOTTOM_NET,SHOCK_LEAD,NET_TEAM,PROCESSING,COMMENTS
AS011,4,2013,2013-08-06,"McRae","MCTW_UPPER","RT_690_793",1,"Depletion",UUU,"WARREN LAB",96,1.69,162.2,,,44.256060,-122.180110,"","","",""
AS011,4,2013,2013-08-07,"McRae","MCTW_LOWER","RT_690_772",1,"Depletion",UUU,"WARREN LAB",99,1.70,168.3,,,44.253640,-122.180780,"","","",""
AS011,4,2013,2013-08-12,"McRae","MCRAE_STREON","R834",1,"Depletion",UUU,"WARREN LAB",66,2.28,150.5,,,44.255770,-122.168210,"","","",""
AS011,4,2013,2013-08-13,"McRae","MCRAE_BELOW_CULVERT","R818",1,"Depletion",UUU,"WARREN LAB",66,2.32,153.1,,,44.254290,-122.170190,"","","",""
AS011,4,2013,2013-09-04,"McRae","MCTW_L522","RT_690_861",1,"Depletion",UUU,"WARREN LAB",55,0.77,42.4,,,44.262330,-122.174530,"","","",""
AS011,4,2013,2013-09-10,"Lookout","L704_UPPER","L1023",1,"Depletion",UUU,"WARREN LAB",,,,,,44.221200,-122.117440,"","","",""
AS011,4,2014,2014-08-14,"McRae","M404_LOWER","R620",1,"Mark",U,"WARREN LAB",94,3.43,320.7,,,44.244060,-122.194290,"","","",""
AS011,4,2014,2014-08-15,"McRae","M404_LOWER","R620",1,"Recap",U,"WARREN LAB",94,3.43,320.7,,,44.244060,-122.194290,"","","",""
AS011,4,2014,2014-08-15,"McRae","M404_UPPER","R631",1,"Mark",U,"WARREN LAB",90,3.07,276.3,,,44.245120,-122.191710,"","","",""
AS011,4,2014,2014-08-16,"McRae","M404_UPPER","R631",1,"Recap",U,"WARREN LAB",90,3.07,276.3,,,44.245120,-122.191710,"","","",""
AS011,4,2014,2014-08-18,"McRae","MCTW_LOWER","RT_690_772",1,"Depletion",UUU,"WARREN LAB",100,1.77,177.0,,,44.253640,-122.180780,"","","",""
AS011,4,2014,2014-08-19,"McRae","MCTW_UPPER","RT_690_793",1,"Depletion",UUU,"WARREN LAB",100,1.54,154.0,,,44.256060,-122.180110,"","","",""
AS011,4,2014,2014-08-20,"McRae","MCRAE_BELOW_CULVERT","R818",1,"Depletion",UUU,"WARREN LAB",80,3.06,244.8,,,44.254290,-122.170190,"","","",""
AS011,4,2014,2014-08-21,"McRae","MCRAE_STREON","R834",1,"Depletion",UUU,"WARREN LAB",80,2.91,232.8,,,44.255770,-122.168210,"","","",""
AS011,4,2014,2014-08-23,"McRae","MCRAE_SCALER_ADD","R556",1,"Depletion",UUD,"PENALUNA_SCALER",65,5.08,330.2,,,44.234060,-122.207530,"","","",""
AS011,4,2014,2014-08-24,"McRae","MCRAE_SCALER_DEPL","R557",1,"Depletion",UUD,"PENALUNA_SCALER",75,6.36,477.0,,,44.234510,-122.207060,"","","",""
AS011,4,2014,2014-08-27,"Lookout","L703_LOWER","L894",1,"Mark",U,"WARREN LAB",92,4.16,383.6,,,44.230190,-122.131510,"","","",""
AS011,4,2014,2014-08-28,"Lookout","L703_LOWER","L894",1,"Recap",U,"WARREN LAB",92,4.16,383.6,,,44.230190,-122.131510,"","","",""
AS011,4,2014,2014-08-28,"Lookout","L703_UPPER","L906",1,"Mark",U,"WARREN LAB",90,3.92,353.6,,,44.229250,-122.129710,"","","",""
AS011,4,2014,2014-08-29,"Lookout","L703_UPPER","L906",1,"Recap",U,"WARREN LAB",90,3.92,353.6,,,44.229250,-122.129710,"","","",""
AS011,4,2014,2014-09-01,"McRae","MCTE_LOWER","RT_810_822",1,"Depletion",UUU,"WARREN LAB",100,1.08,108.0,,,44.253320,-122.170100,"","","",""
AS011,4,2014,2014-09-01,"McRae","MCTE_OG","RT_810_856",1,"Depletion",UUU,"WARREN LAB",100,1.05,105.0,,,44.254700,-122.166390,"","","",""
AS011,4,2014,2014-09-02,"Lookout","L701_LOWER","L755",1,"Mark",U,"WARREN LAB",103,5.37,551.0,,,44.233860,-122.152840,"","","",""
AS011,4,2014,2014-09-03,"Lookout","L701_LOWER","L755",1,"Recap",U,"WARREN LAB",103,5.37,551.0,,,44.233860,-122.152840,"","","",""
AS011,4,2014,2014-09-04,"Lookout","L701_UPPER","L769",1,"Mark",U,"WARREN LAB",100,4.27,427.0,,,44.234070,-122.150250,"","","",""
AS011,4,2014,2014-09-04,"McRae","MCRAE_SCALER_CONTROL","R558",1,"Depletion",UDUD,"PENALUNA_SCALER",65,3.93,255.6,,,44.234880,-122.206380,"","","",""
AS011,4,2014,2014-09-05,"Lookout","L701_UPPER","L769",1,"Recap",U,"WARREN LAB",100,4.27,427.0,,,44.234070,-122.150250,"","","",""
AS011,4,2014,2014-09-08,"McRae","MCTE_UPPER","RT_810_836",1,"Depletion",UUU,"WARREN LAB",70,0.76,53.2,,,44.253970,-122.168180,"","","","date was entered 10/8/14, outside of field season-- changed to 9/8/14 based on proximity to other MCTE sampling dates"
AS011,4,2014,2014-09-26,"McRae","MCRAE_SCALER_CONTROL","R558",2,"Depletion",UDUD,"PENALUNA_SCALER",65,4.05,263.3,,,44.234880,-122.206380,"","","",""
AS011,4,2015,2015-07-08,"McRae","MCRAE_SCALER_CONTROL","R558",1,"Depletion",UDUD,"PENALUNA_SCALER",65,5.09,331.1,,,44.234880,-122.206380,"","","","408.462 cm wetted width noted in alternate file"
AS011,4,2015,2015-07-09,"McRae","MCRAE_SCALER_ADD","R556",1,"Depletion",UDUD,"PENALUNA_SCALER",65,5.50,357.8,,,44.234060,-122.207530,"","","",""
AS011,4,2015,2015-07-10,"McRae","MCRAE_SCALER_DEPL","R557",1,"Depletion",UDUD,"PENALUNA_SCALER",75,5.78,433.6,,,44.234510,-122.207060,"","","",""
AS011,4,2015,2015-07-15,"McRae","MCR_SCALERSTREON_CON","R842",1,"Depletion",UDUD,"PENALUNA_SCALER",55,4.38,241.0,,,44.256600,-122.167630,"","","",""
AS011,4,2015,2015-07-16,"McRae","MCRAE_STREON","R834",1,"Depletion",UDUD,"PENALUNA_SCALER",60,4.19,251.5,,,44.255670,-122.168470,"","","",""
AS011,4,2015,2015-07-17,"McRae","MCR_SCALERSTREON_DEP","R836",1,"Depletion",UDUD,"PENALUNA_SCALER",55,4.73,260.1,,,44.255890,-122.167650,"","","",""
AS011,4,2015,2015-07-22,"Lookout","LO_SCALER_CONTROL","L1003",1,"Depletion",UDUD,"PENALUNA_SCALER",55,5.68,312.3,,,44.222830,-122.118650,"","","",""
AS011,4,2015,2015-07-23,"Lookout","LO_SCALER_ADD","L994",1,"Depletion",UDUD,"PENALUNA_SCALER",60,4.30,257.8,,,44.223480,-122.119640,"","","",""
AS011,4,2015,2015-07-24,"Lookout","LO_SCALER_DEPL","L999",1,"Depletion",UDUD,"PENALUNA_SCALER",55,4.01,220.5,,,44.223140,-122.119180,"","","",""
AS011,4,2015,2015-08-11,"McRae","MCTW_UPPER","RT_690_793",1,"Depletion",UUU,"WARREN LAB",100,2.22,222.0,,,44.256060,-122.180110,"","","",""
AS011,4,2015,2015-08-12,"McRae","M404_LOWER","R620",1,"Mark",D,"WARREN LAB",90,4.06,365.4,,,44.244060,-122.194290,"","","",""
AS011,4,2015,2015-08-12,"McRae","MCTW_LOWER","RT_690_772",1,"Depletion",UUU,"WARREN LAB",100,1.47,147.0,,,44.253640,-122.180780,"","","",""
AS011,4,2015,2015-08-13,"McRae","M404_LOWER","R620",1,"Recap",D,"WARREN LAB",90,4.06,365.4,,,44.244060,-122.194290,"","","",""
AS011,4,2015,2015-08-13,"McRae","MCRAE_SCALER_CONTROL","R558",2,"Depletion",UDUD,"PENALUNA_SCALER",65,,,,,44.234880,-122.206380,"","","",""
AS011,4,2015,2015-08-17,"McRae","MCRAE_BELOW_CULVERT","R818",1,"Depletion",UUU,"WARREN LAB",90,2.95,265.5,,,44.254290,-122.170190,"","","",""
AS011,4,2015,2015-08-20,"McRae","MCR_SCALERSTREON_CON","R842",2,"Depletion",UDUD,"PENALUNA_SCALER",55,,,,,44.256600,-122.167630,"","","",""
AS011,4,2015,2015-08-26,"Lookout","LO_SCALER_CONTROL","L1003",2,"Depletion",UDUD,"PENALUNA_SCALER",55,,,,,44.222830,-122.118650,"","","",""
AS011,4,2015,2015-08-27,"Lookout","L703_LOWER","L894",1,"Mark",D,"WARREN LAB",90,4.24,381.6,,,44.230190,-122.131510,"","","",""
AS011,4,2015,2015-08-28,"Lookout","L703_LOWER","L894",1,"Recap",D,"WARREN LAB",90,4.24,381.6,,,44.230190,-122.131510,"","","",""
AS011,4,2015,2015-09-02,"McRae","MCTE_LOWER","RT_810_822",1,"Depletion",UUU,"WARREN LAB",100,1.60,160.0,,,44.253320,-122.170100,"","","",""
AS011,4,2015,2015-09-02,"McRae","MCTE_OG","RT_810_856",1,"Depletion",UUU,"WARREN LAB",100,1.26,126.0,,,44.254700,-122.166390,"","","",""
AS011,4,2015,2015-09-07,"Lookout","L701_LOWER","L755",1,"Mark",U,"WARREN LAB",100,5.91,591.0,,,44.233860,-122.152840,"","","",""
AS011,4,2015,2015-09-08,"Lookout","L701_LOWER","L755",1,"Recap",U,"WARREN LAB",100,5.91,591.0,,,44.233860,-122.152840,"","","",""
AS011,4,2015,2015-09-08,"Lookout","LO_SCALER_CONTROL","L1003",3,"Depletion",UDUD,"PENALUNA_SCALER",55,,,,,44.222830,-122.118650,"","","",""
AS011,4,2016,2016-07-06,"McRae","MCRAE_SCALER_ADD","R556",1,"Depletion",UDUD,"PENALUNA_SCALER",65,7.35,477.4,,,44.234060,-122.207530,"","","",""
AS011,4,2016,2016-07-07,"McRae","MCRAE_SCALER_DEPL","R557",1,"Depletion",UDUD,"PENALUNA_SCALER",75,5.96,446.7,,,44.234510,-122.207060,"","","",""
AS011,4,2016,2016-07-08,"McRae","MCRAE_SCALER_CONTROL","R558",1,"Depletion",UDUD,"PENALUNA_SCALER",65,5.51,358.2,,,44.234880,-122.206380,"","","",""
